"CCAA"	"IDENTHOGAR"	"ESTRATO"	"SEXO_i"	"EDAD_i"	"NORDEN_Ai"	"NORDEN_Mi"	"NADULTOS"	"NMENORES"	"A7_1_i"	"NORDEN_Pref"	"A7_2"	"A8_1_i"	"A8_2_i"	"NORINF"	"A9_otra"	"A10_i"	"A11_i"	"A12"	"B13"	"B14"	"B15_2"	"B16_2"	"B17"	"B18"	"B19a_2"	"B19b_2"	"B20a_2"	"B20b_2"	"B21a"	"B21b"	"FACTORHOGAR"	"CLASE_PR"	"D23_1"	"D23_2"	"D23_3"	"D23_4"	"D23_5"	"D23_6"	"D23_7"	"D23_8"	"D23_9"	"D23_10"	"D23_11"	"D24"	"D26"
"16"	"02298011"	"1"	"1"	8	"  "	"51"	2	2	"2"	"01"	"01"	"2"	"03"	"02"	" "	"01"	"4"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	821.06	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298011"	"1"	"2"	12	"  "	"52"	2	2	"2"	"01"	"01"	"2"	"03"	"02"	" "	"04"	"4"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	821.06	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298021"	"1"	"2"	70	"01"	"  "	3	0	"2"	"02"	"01"	"1"	"01"	"02"	" "	"06"	"6"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"651"	"   "	"121"	" "	"1"	753.986	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"99"
"16"	"02298021"	"1"	"1"	70	"02"	"  "	3	0	"1"	"02"	"01"	"2"	"02"	"02"	" "	"08"	"3"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"651"	"   "	"121"	" "	"1"	753.986	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298021"	"1"	"1"	36	"03"	"  "	3	0	"2"	"02"	"01"	"2"	"03"	"02"	" "	"09"	"2"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"651"	"   "	"121"	" "	"1"	753.986	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298031"	"1"	"1"	73	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"03"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	881.109	"3"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"99"
"16"	"02298041"	"1"	"1"	96	"01"	"  "	3	0	"1"	"01"	"03"	"2"	"06"	"03"	" "	"03"	"3"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"494"	"   "	"981"	" "	"1"	679.255	"6"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298041"	"1"	"2"	92	"02"	"  "	3	0	"2"	"01"	"03"	"2"	"06"	"03"	" "	"03"	"3"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"494"	"   "	"981"	" "	"1"	679.255	"6"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298041"	"1"	"2"	56	"03"	"  "	3	0	"2"	"01"	"03"	"1"	"01"	"03"	" "	"04"	"2"	"4"	"1"	" "	"   "	"   "	" "	" "	"   "	"494"	"   "	"981"	" "	"1"	679.255	"6"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"3"	"02"
"16"	"02298051"	"1"	"2"	31	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"09"	"1"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	697.36	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"16"	"02298061"	"1"	"2"	69	"01"	"  "	2	0	"1"	"01"	"01"	"1"	"01"	"02"	" "	"04"	"3"	"6"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	785.041	"5"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"01"
"16"	"02298061"	"1"	"1"	36	"02"	"  "	2	0	"2"	"01"	"01"	"2"	"03"	"02"	" "	"09"	"1"	"6"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	785.041	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298091"	"1"	"2"	91	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"00"	"1"	"04"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	731.482	"3"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"02298101"	"1"	"2"	63	"01"	"  "	3	0	"2"	"02"	"02"	"2"	"02"	"02"	" "	"06"	"3"	"4"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	809.575	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298101"	"1"	"1"	61	"02"	"  "	3	0	"1"	"02"	"02"	"1"	"01"	"02"	" "	"04"	"3"	"4"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	809.575	"5"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"3"	"02"
"16"	"02298101"	"1"	"1"	29	"03"	"  "	3	0	"2"	"02"	"02"	"2"	"03"	"02"	" "	"07"	"1"	"4"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	809.575	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298111"	"1"	"1"	50	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"06"	"1"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	828.088	"3"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"02298131"	"1"	"1"	38	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"09"	"1"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	972.419	"5"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"16"	"02298141"	"1"	"2"	69	"01"	"  "	2	0	"2"	"02"	"01"	"1"	"01"	"01"	" "	"04"	"3"	"2"	"1"	" "	"   "	"   "	" "	" "	"   "	"331"	"   "	"731"	" "	"1"	739.386	"4"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"16"	"02298141"	"1"	"1"	67	"02"	"  "	2	0	"1"	"02"	"01"	"2"	"02"	"01"	" "	"07"	"3"	"2"	"1"	" "	"   "	"   "	" "	" "	"   "	"331"	"   "	"731"	" "	"1"	739.386	"4"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298151"	"1"	"1"	58	"01"	"  "	4	0	"1"	"01"	"02"	"2"	"02"	"01"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"853"	"   "	"223"	"   "	"1"	" "	712.386	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298151"	"1"	"2"	57	"02"	"  "	4	0	"2"	"01"	"02"	"1"	"01"	"01"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"853"	"   "	"223"	"   "	"1"	" "	712.386	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"03"
"16"	"02298151"	"1"	"2"	21	"03"	"  "	4	0	"2"	"01"	"02"	"2"	"03"	"01"	" "	"06"	"4"	"3"	" "	" "	"   "	"   "	" "	" "	"853"	"   "	"223"	"   "	"1"	" "	712.386	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02298151"	"1"	"1"	15	"04"	"  "	4	0	"2"	"01"	"02"	"2"	"03"	"01"	" "	"04"	"4"	"3"	" "	" "	"   "	"   "	" "	" "	"853"	"   "	"223"	"   "	"1"	" "	712.386	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"02299021"	"1"	"2"	83	"01"	"  "	2	0	"1"	"01"	"01"	"1"	"01"	"01"	" "	"09"	"3"	"8"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	664.573	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"3"	"02"
"16"	"02299021"	"1"	"2"	68	"02"	"  "	2	0	"2"	"01"	"01"	"2"	"10"	"01"	" "	"09"	"3"	"8"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	664.573	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
